id,name,current_price,market_cap,price_change_percentage_24h,total_supply,circulating_supply
bitcoin,Bitcoin,90805,1812113117737,-0.35498,19954643.0,19954631.0
ethereum,Ethereum,3003.37,361957718792,-1.78963,120695549.1559697,120695537.4152002
tether,Tether,0.999885,184549574779,-0.00465,190033714078.0862,184566777749.5049
ripple,XRP,2.17,131045504011,-2.20545,99985752852.0,60331635327.0
binancecoin,BNB,891.88,122945931557,-0.90292,137736422.97,137736422.97
solana,Solana,138.95,77748173946,-3.04701,614932571.7154895,559407226.094864
usd-coin,USDC,0.999754,76015599639,0.00432,76037761214.27577,76037398364.0624
tron,TRON,0.280021,26507038827,1.1645,94678398658.0045,94677850970.361
staked-ether,Lido Staked Ether,3000.74,25894009363,-1.75347,8631847.624311863,8631847.624311863
dogecoin,Dogecoin,0.150063,22817259598,-3.25566,151954626383.7052,151948876383.7052
cardano,Cardano,0.422562,15489127837,-3.24614,45000000000.0,36616634895.16071
figure-heloc,Figure Heloc,1.046,14570619923,1.06172,13926192335.67,13926192335.67
whitebit,WhiteBIT Coin,59.13,12682606268,0.17144,320964392.0,214464392.0
wrapped-steth,Wrapped stETH,3661.71,12102184979,-1.71925,3301846.547919622,3301846.547919622
wrapped-bitcoin,Wrapped Bitcoin,90730,11337647924,-0.52092,124963.48883569,124963.48883569
bitcoin-cash,Bitcoin Cash,534.87,10699580542,-1.80347,19959153.02165078,19959112.39665078
wrapped-beacon-eth,Wrapped Beacon ETH,3252.95,10607883779,-1.90602,3264440.051521729,3264440.051521729
usds,USDS,0.999834,9320549544,0.02589,9322938090.956324,9322938090.956324
hyperliquid,Hyperliquid,34.07,9224530487,-6.06696,999835210.4341414,270772999.4341414
chainlink,Chainlink,13.18,9177441090,-2.55211,1000000000.0,696849970.4525868
leo-token,LEO Token,9.8,9054442958,0.83196,985239504.0,922059676.9
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),0.999675,8974820321,0.03054,8984992992.453934,8984992992.453934
stellar,Stellar,0.251609,8124217771,-2.57768,50001786883.67145,32313292311.08108
weth,WETH,3001.67,8000438175,-1.83719,2666818.638086463,2666818.638086463
wrapped-eeth,Wrapped eETH,3248.51,7673601946,-1.74741,2365317.382896978,2365317.382896978
zcash,Zcash,458.5,7574527466,-14.88093,16411697.0405448,16408162.6655448
monero,Monero,403.01,7450111624,1.73438,18446744.07370955,18446744.07370955
ethena-usde,Ethena USDe,0.999204,7276250670,0.0162,7284003723.065603,7284003723.065603
